code,draw,form,id,loss,name,played,points,position,short_name,strength,team_division,unavailable,win,strength_overall_home,strength_overall_away,strength_attack_home,strength_attack_away,strength_defence_home,strength_defence_away,pulse_id
3,0,,1,0,Arsenal,0,0,1,ARS,5,,False,0,1340.0,1300.0,1364.0,1324.0,1380.0,1340.0,1
7,0,,2,0,Aston Villa,0,0,8,AVL,3,,False,0,1274.0,1234.0,1251.0,1211.0,1271.0,1231.0,2
90,0,,3,0,Burnley,0,0,16,BUR,3,,False,0,1158.0,1118.0,1120.0,1080.0,1118.0,1078.0,43
91,0,,4,0,Bournemouth,0,0,2,BOU,3,,False,0,1213.0,1173.0,1215.0,1175.0,1211.0,1171.0,127
94,0,,5,0,Brentford,0,0,11,BRE,3,,False,0,1219.0,1179.0,1221.0,1181.0,1219.0,1179.0,130
36,0,,6,0,Brighton,0,0,13,BHA,3,,False,0,1229.0,1189.0,1244.0,1204.0,1228.0,1188.0,131
8,0,,7,0,Chelsea,0,0,9,CHE,3,,False,0,1265.0,1225.0,1286.0,1246.0,1263.0,1223.0,4
31,0,,8,0,Crystal Palace,0,0,10,CRY,3,,False,0,1226.0,1186.0,1245.0,1205.0,1230.0,1190.0,6
11,0,,9,0,Everton,0,0,14,EVE,3,,False,0,1214.0,1174.0,1196.0,1156.0,1208.0,1168.0,7
54,0,,10,0,Fulham,0,0,17,FUL,3,,False,0,1203.0,1163.0,1182.0,1142.0,1202.0,1162.0,34
2,0,,11,0,Leeds,0,0,15,LEE,3,,False,0,1186.0,1146.0,1191.0,1151.0,1179.0,1139.0,9
14,0,,12,0,Liverpool,0,0,7,LIV,4,,False,0,1287.0,1247.0,1301.0,1261.0,1293.0,1253.0,10
43,0,,13,0,Man City,0,0,5,MCI,4,,False,0,1314.0,1274.0,1354.0,1314.0,1326.0,1286.0,11
1,0,,14,0,Man Utd,0,0,6,MUN,3,,False,0,1226.0,1186.0,1262.0,1222.0,1223.0,1183.0,12
4,0,,15,0,Newcastle,0,0,12,NEW,3,,False,0,1246.0,1206.0,1245.0,1205.0,1258.0,1218.0,23
17,0,,16,0,Nott'm Forest,0,0,18,NFO,3,,False,0,1206.0,1166.0,1192.0,1152.0,1199.0,1159.0,15
56,0,,17,0,Sunderland,0,0,4,SUN,3,,False,0,1147.0,1107.0,1107.0,1067.0,1147.0,1107.0,29
6,0,,18,0,Spurs,0,0,3,TOT,3,,False,0,1215.0,1175.0,1182.0,1142.0,1214.0,1174.0,21
21,0,,19,0,West Ham,0,0,19,WHU,3,,False,0,1175.0,1135.0,1146.0,1106.0,1155.0,1115.0,25
39,0,,20,0,Wolves,0,0,20,WOL,3,,False,0,1130.0,1090.0,1091.0,1051.0,1119.0,1079.0,38
